,Neuron,Target,Number of Connections,Neurotransmitter
0,ADAL,AIBL,1.0,exc
1,ADAL,AIBR,2.0,exc
2,ADAL,AVAR,2.0,exc
3,ADAL,AVBL,4.0,exc
4,ADAL,AVBR,7.0,exc
5,ADAL,AVDL,1.0,exc
6,ADAL,AVEL,1.0,exc
7,ADAL,AVJR,5.0,exc
8,ADAL,FLPR,1.0,exc
9,ADAL,RICL,1.0,exc
10,ADAL,RICR,1.0,exc
11,ADAL,RIML,3.0,exc
12,ADAL,RIPL,1.0,exc
13,ADAL,SMDVR,2.0,exc
14,ADAR,AIBL,1.0,exc
15,ADAR,AIBR,1.0,exc
16,ADAR,AVAL,1.0,exc
17,ADAR,AVBL,1.0,exc
18,ADAR,AVBR,5.0,exc
19,ADAR,AVEL,1.0,exc
20,ADAR,AVJL,3.0,exc
21,ADAR,RICL,1.0,exc
22,ADAR,RIMR,5.0,exc
23,ADAR,RIPR,1.0,exc
24,ADAR,RIVR,1.0,exc
25,ADAR,SMDVL,2.0,exc
26,ADEL,ADAL,1.0,exc
27,ADEL,ADER,1.0,exc
28,ADEL,AVAL,2.0,exc
29,ADEL,AVAR,3.0,exc
30,ADEL,AVEL,1.0,exc
31,ADEL,AVL,1.0,exc
32,ADEL,BDUL,1.0,exc
33,ADEL,CEPDL,1.0,exc
34,ADEL,FLPL,1.0,exc
35,ADEL,IL1L,1.0,exc
36,ADEL,IL2L,1.0,exc
37,ADEL,OLLL,1.0,exc
38,ADEL,RIAL,1.0,exc
39,ADEL,RIFL,1.0,exc
40,ADEL,RIGL,5.0,exc
41,ADEL,RIGR,3.0,exc
42,ADEL,RIH,2.0,exc
43,ADEL,RIVL,1.0,exc
44,ADEL,RIVR,1.0,exc
45,ADEL,RMDL,2.0,exc
46,ADEL,RMGL,1.0,exc
47,ADEL,RMHL,1.0,exc
48,ADEL,SIADR,1.0,exc
49,ADEL,SIBDR,1.0,exc
50,ADEL,SMBDR,1.0,exc
51,ADEL,URBL,1.0,exc
52,ADER,ADAR,1.0,exc
53,ADER,ADEL,2.0,exc
54,ADER,ALA,1.0,exc
55,ADER,AVAL,5.0,exc
56,ADER,AVAR,1.0,exc
57,ADER,AVDR,2.0,exc
58,ADER,AVER,1.0,exc
59,ADER,AVJR,1.0,exc
60,ADER,AVKL,1.0,exc
61,ADER,AVKR,1.0,exc
62,ADER,CEPDR,1.0,exc
63,ADER,FLPL,1.0,exc
64,ADER,FLPR,1.0,exc
65,ADER,OLLR,2.0,exc
66,ADER,PVR,1.0,exc
67,ADER,RIGL,7.0,exc
68,ADER,RIGR,4.0,exc
69,ADER,RIH,1.0,exc
70,ADER,RMDR,2.0,exc
71,ADER,SAAVR,1.0,exc
