,Origin,Muscle,Number of Connections,Neurotransmitter
0,ADEL,MDL05,1.0,exc
1,AS1,MDL05,1.0,exc
2,AS1,MDR05,1.0,exc
3,AS1,MDL08,1.0,exc
4,AS1,MDR08,1.0,exc
5,AS10,MDL20,1.0,exc
6,AS10,MDR20,1.0,exc
7,AS10,MDL19,1.0,exc
8,AS10,MDR19,1.0,exc
9,AS11,MDL21,1.0,exc
10,AS11,MDL22,1.0,exc
11,AS11,MDL23,1.0,exc
12,AS11,MDL24,1.0,exc
13,AS11,MDR21,1.0,exc
14,AS11,MDR22,1.0,exc
15,AS11,MDR23,1.0,exc
16,AS11,MDR24,1.0,exc
17,AS2,MDL08,1.0,exc
18,AS2,MDR08,1.0,exc
19,AS2,MDL07,1.0,exc
20,AS2,MDR07,1.0,exc
21,AS3,MDL10,1.0,exc
22,AS3,MDR10,1.0,exc
23,AS3,MDL09,1.0,exc
24,AS3,MDR09,1.0,exc
25,AS4,MDL12,1.0,exc
26,AS4,MDR12,1.0,exc
27,AS4,MDL11,1.0,exc
28,AS4,MDR11,1.0,exc
29,AS5,MDL11,1.0,exc
30,AS5,MDR11,1.0,exc
31,AS5,MDL14,1.0,exc
32,AS5,MDR14,1.0,exc
33,AS6,MDL14,1.0,exc
34,AS6,MDR14,1.0,exc
35,AS6,MDL13,1.0,exc
36,AS6,MDR13,1.0,exc
37,AS7,MDL13,1.0,exc
38,AS7,MDR13,1.0,exc
39,AS7,MDL16,1.0,exc
40,AS7,MDR16,1.0,exc
41,AS8,MDL15,1.0,exc
42,AS8,MDR15,1.0,exc
43,AS8,MDL18,1.0,exc
44,AS8,MDR18,1.0,exc
45,AS9,MDL20,1.0,exc
46,AS9,MDR20,1.0,exc
47,AS9,MDL17,1.0,exc
48,AS9,MDR17,1.0,exc
49,AVFL,MVL12,1.0,exc
50,AVFL,MVL11,1.0,exc
51,AVFR,MVL14,1.0,exc
52,AVFR,MVR14,1.0,exc
53,AVKR,MVL10,1.0,exc
54,AVL,MVL10,1.0,inh
55,AVL,MVR10,1.0,inh
56,CEPVL,MVL03,1.0,exc
57,CEPVR,MVR04,1.0,exc
58,DA1,MDL08,1.0,exc
59,DA1,MDR08,1.0,exc
60,DA2,MDL07,1.0,exc
61,DA2,MDL08,1.0,exc
62,DA2,MDL09,1.0,exc
63,DA2,MDL10,1.0,exc
64,DA2,MDR07,1.0,exc
65,DA2,MDR08,1.0,exc
66,DA2,MDR09,1.0,exc
67,DA2,MDR10,1.0,exc
68,DA3,MDL09,1.0,exc
69,DA3,MDL10,1.0,exc
70,DA3,MDL12,1.0,exc
71,DA3,MDR09,1.0,exc
72,DA3,MDR10,1.0,exc
73,DA3,MDR12,1.0,exc
74,DA4,MDL11,1.0,exc
75,DA4,MDL12,1.0,exc
76,DA4,MDL14,1.0,exc
77,DA4,MDR11,1.0,exc
78,DA4,MDR12,1.0,exc
79,DA4,MDR14,1.0,exc
80,DA5,MDL13,1.0,exc
81,DA5,MDL14,1.0,exc
82,DA5,MDR13,1.0,exc
83,DA5,MDR14,1.0,exc
84,DA6,MDL11,1.0,exc
85,DA6,MDL12,1.0,exc
86,DA6,MDL13,1.0,exc
87,DA6,MDL14,1.0,exc
88,DA6,MDL16,1.0,exc
89,DA6,MDR11,1.0,exc
90,DA6,MDR12,1.0,exc
91,DA6,MDR13,1.0,exc
92,DA6,MDR14,1.0,exc
93,DA6,MDR16,1.0,exc
94,DA7,MDL15,1.0,exc
95,DA7,MDL17,1.0,exc
96,DA7,MDL18,1.0,exc
97,DA7,MDR15,1.0,exc
98,DA7,MDR17,1.0,exc
99,DA7,MDR18,1.0,exc
100,DA8,MDL17,1.0,exc
101,DA8,MDL19,1.0,exc
102,DA8,MDL20,1.0,exc
103,DA8,MDR17,1.0,exc
