,0,1,2
ADAL,8.65,-322.6291,-1.089988
ADAR,-12.9,-322.6291,-1.089988
ADEL,11.0,-326.0401,-0.8867022
ADER,-15.3,-326.0401,-0.8867022
ADFL,3.725,-353.0995,1.670831
ADFR,-8.0,-353.0995,1.670831
ADLL,2.7,-353.3378,-4.651209
ADLR,-6.95,-353.3378,-4.651209
AFDL,4.5,-354.2524,0.08763832
AFDR,-8.75,-354.2524,0.08763832
AIAL,0.8,-347.1946,5.779725
AIAR,-5.1,-347.1946,5.779725
AIBL,2.7,-349.6883,5.262917
AIBR,-6.9,-349.6883,5.262917
AIML,9.25,-334.1736,7.725632
AIMR,-13.5,-334.1736,7.725632
AINL,-1.45,-353.7809,4.364991
AINR,-3.067,-353.7809,4.364991
AIYL,7.45,-333.532,6.812215
AIYR,-11.7,-333.532,6.812215
AIZL,5.6,-342.9726,1.834815
AIZR,-9.95,-342.9726,1.834815
ALA,-1.35,-359.2671,-5.824844
ALML,22.675,-123.7724,-6.873142
ALMR,-24.15,-123.7724,-6.873142
ALNL,0.325,365.9804,-3.428952
ALNR,-2.925,365.9804,-3.428952
AQR,-14.8,-327.3223,-1.910755
AS1,-0.275,-300.9,17.13234
AS10,-1.9,237.9416,21.56363
AS11,-1.875,272.2539,16.84926
AS2,-1.875,-270.1828,19.87079
AS3,-1.9,-209.0672,22.68622
AS4,-1.875,-152.3354,20.4753
AS5,-1.875,-76.99857,27.10955
AS6,-1.9,-41.52651,25.79496
AS7,-1.9,68.97963,24.56775
AS8,-1.9,138.6121,23.44563
AS9,-1.875,188.1156,24.40402
ASEL,4.125,-348.5705,1.46442
ASER,-8.375,-348.5705,1.46442
ASGL,3.7,-352.1903,-2.836299
ASGR,-8.0,-352.1903,-2.836299
ASHL,5.55,-350.7463,1.354351
ASHR,-9.8,-350.7463,1.354351
ASIL,2.65,-351.2521,-4.807262
ASIR,-6.9,-351.2521,-4.807262
ASJL,2.975,-346.9114,3.555331
ASJR,-7.25,-346.9114,3.555331
ASKL,3.7,-354.9955,-2.736667
ASKR,-8.0,-354.9955,-2.736667
AUAL,4.5,-347.8049,3.945663
AUAR,-8.8,-347.8049,3.945663
AVAL,-0.55,-355.1269,6.368507
AVAR,-3.5,-355.1269,6.368507
AVBL,0.225,-353.4538,5.845381
AVBR,-4.581,-353.4538,5.845381
AVDL,-0.167,-352.186,5.952223
AVDR,-4.033,-352.1638,5.961448
AVEL,2.75,-354.0874,3.09528
AVER,-8.4,-354.0874,3.09528
AVFL,2.1,-323.1924,13.25655
AVFR,-6.5,-323.1924,13.25655
AVG,-2.0,-312.0381,13.93371
AVHL,4.15,-351.1696,-2.807556
AVHR,-8.900001,-351.1696,-2.807556
AVJL,0.2,-352.5853,-4.972199
AVJR,-4.75,-352.5853,-4.972199
AVKL,1.65,-332.9309,13.63344
AVKR,-4.583,-323.8651,13.15695
AVL,-7.5,-346.8734,4.766396
AVM,-20.5,-120.2647,1.468475
AWAL,3.9,-351.6547,-0.1634039
AWAR,-8.2,-351.6547,-0.1634039
AWBL,5.5,-352.1118,-0.3533402
AWBR,-9.75,-352.1118,-0.3533402
AWCL,3.8,-352.1224,4.14088
AWCR,-8.1,-352.1224,4.14088
BAGL,4.675,-362.9789,1.76847
BAGR,-9.0,-362.9789,1.76847
BDUL,15.35,-261.9188,0.675554
BDUR,-19.65,-261.9188,0.675554
CEPDL,1.35,-363.9811,-7.512276
CEPDR,-5.625,-363.9811,-7.512276
CEPVL,0.7,-361.274,6.538003
CEPVR,-4.95,-361.274,6.538003
DA1,-0.75,-298.518,17.31836
DA2,-1.9,-254.3163,21.08176
DA3,-1.65,-181.0081,22.33449
DA4,-1.7,-104.1247,24.48022
DA5,-1.65,25.43463,22.82697
DA6,-1.65,156.6396,24.00316
DA7,-1.65,241.3311,21.70843
DA8,1.275,330.5263,9.737318
DA9,-4.6,330.5263,9.737318
DB1,-1.9,-303.1036,15.92745
DB2,-0.2,-320.1061,14.85731
DB3,-1.85,-259.8149,20.61082
DB4,-1.875,-157.3314,20.66058
DB5,-4.05,-33.47312,25.8006
DB6,-1.825,134.5066,22.71548
DB7,-1.85,227.5699,22.72859
DD1,-0.9,-304.533,16.7055
DD2,-1.85,-214.6628,22.61459
DD3,-1.9,-100.6956,24.62024
DD4,-1.875,72.64326,24.17843
DD5,-1.875,193.3903,24.36738
DD6,-1.9,318.8002,12.55741
DVA,-2.345,351.3523,0.5162633
DVB,-0.75,351.3553,0.1791058
DVC,-0.116,352.8578,-1.429818
FLPL,10.875,-328.8976,2.151501
FLPR,-15.05,-328.8976,2.151501
HSNL,17.45,7.292915,4.329166
HSNR,-21.65,7.292915,4.329166
I1L,2.9,-387.7022,-0.09408565
I1R,-7.150001,-387.7022,-0.09408565
I2L,1.55,-399.0688,0.5326146
I2R,-5.8,-399.0688,0.5326146
I3,-2.05,-385.0432,-5.850585
I4,-2.05,-340.9529,-5.329829
I5,-2.1,-330.1093,3.18819
I6,1.7,-338.9269,-6.243372
IL1DL,2.825,-370.716,-3.907672
IL1DR,-7.062,-370.716,-3.907672
IL1L,3.8,-369.2257,0.7697124
IL1R,-8.075001,-369.2257,0.7697124
IL1VL,2.25,-363.9747,6.307318
IL1VR,-6.55,-363.9747,6.307318
IL2DL,7.1,-376.2503,-6.839593
IL2DR,-11.35,-376.2503,-6.839593
IL2L,6.75,-371.8881,-0.002356855
IL2R,-11.0,-371.8881,-0.002356855
IL2VL,3.3,-373.8994,7.211992
IL2VR,-7.6,-373.8994,7.211992
LUAL,1.35,360.0902,3.118367
LUAR,-3.85,360.0902,3.118367
M1,-0.867,-339.951,-7.274591
M2L,3.7,-339.487,-1.111488
M2R,-8.0,-339.487,-1.111488
M3L,3.75,-381.7673,3.767066
M3R,-8.05,-381.7673,3.767066
M4,-2.033,-377.7206,-6.919371
M5,-2.2,-329.4457,-9.629187
MCL,3.2,-383.4194,-0.1181522
MCR,-7.25,-383.4194,-0.1181522
MI,-2.154,-381.8269,-4.995534
NSML,2.6,-379.5145,-0.5080914
NSMR,-6.35,-379.5145,-0.5080914
OLLL,4.4,-371.0259,-0.959221
OLLR,-8.65,-371.0259,-0.959221
OLQDL,2.775,-368.345,-5.347116
OLQDR,-7.025,-368.345,-5.347116
OLQVL,4.2,-364.7149,3.457248
OLQVR,-8.474999,-364.7149,3.457248
PDA,-2.95,341.7911,7.197326
PDB,-3.3,338.7541,8.667197
PDEL,25.75,95.06381,2.677778
PDER,-27.35,95.06381,2.677778
PHAL,1.2,359.267,2.803413
PHAR,-3.8,359.267,2.803413
PHBL,1.2,362.2012,2.487489
PHBR,-3.725,362.2012,2.487489
PHCL,0.75,365.7373,2.072205
PHCR,-3.425,365.7373,2.072205
PLML,2.5,367.2878,1.845091
PLMR,-3.675,367.2878,1.845091
